,year,id,ch_name,en_name,type,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level,arrive,leave
0,2017.0,201718.0,泰利,TALIM,---,中度,935,48,250,80,19,2017-09-12 14:30:00,2017-09-14 20:30:00
1,2017.0,201717.0,谷超,GUCHOL,---,輕度,998,18,80,---,7,2017-09-06 10:30:00,2017-09-07 02:30:00
2,2017.0,201713.0,天鴿,HATO,---,中度,965,33,180,50,15,2017-08-20 23:30:00,2017-08-22 17:30:00
3,2017.0,201710.0,海棠,HAITANG,---,輕度,990,20,100,---,14,2017-07-29 17:30:00,2017-07-31 08:30:00
4,2017.0,201709.0,尼莎,NESAT,---,中度,955,40,180,60,19,2017-07-28 08:30:00,2017-07-30 14:30:00
5,2016.0,201619.0,艾利,AERE,---,輕度,998,18,120,---,10,2016-10-05 11:30:00,2016-10-06 14:30:00
6,2016.0,201617.0,梅姬,MEGI,3,中度,940,45,250,100,23,2016-09-25 23:30:00,2016-09-28 17:30:00
7,2016.0,201616.0,馬勒卡,MALAKAS,---,中度,940,45,180,60,20,2016-09-15 23:30:00,2016-09-18 08:30:00
8,2016.0,201614.0,莫蘭蒂,MERANTI,7,強烈,900,60,220,80,21,2016-09-12 23:30:00,2016-09-15 11:30:00
9,2016.0,201601.0,尼伯特,NEPARTAK,4,強烈,905,58,200,80,25,2016-07-06 14:30:00,2016-07-09 14:30:00
10,2015.0,201521.0,杜鵑,DUJUAN,2,強烈,925,51,220,80,20,2015-09-27 08:30:00,2015-09-29 17:30:00
11,2015.0,201515.0,天鵝,GONI,---,強烈,925,51,200,80,26,2015-08-20 17:30:00,2015-08-23 20:30:00
12,2015.0,201513.0,蘇迪勒,SOUDELOR,3,中度,930,48,300,100,24,2015-08-06 11:30:00,2015-08-09 08:30:00
13,2015.0,201510.0,蓮花,LINFA,---,輕度,975,30,120,30,24,2015-07-06 08:30:00,2015-07-09 05:30:00
14,2015.0,201509.0,昌鴻,CHAN-HOM,---,中度,935,48,280,100,19,2015-07-09 05:30:00,2015-07-11 11:30:00
15,2015.0,201506.0,紅霞,NOUL,---,強烈,925,51,200,80,13,2015-05-10 08:30:00,2015-05-11 20:30:00
16,2014.0,201416.0,鳳凰,FUNG-WONG,特殊,輕度,985,25,150,---,25,2014-09-19 08:30:00,2014-09-22 08:30:00
17,2014.0,201410.0,麥德姆,MATMO,3,中度,960,38,200,80,19,2014-07-21 17:30:00,2014-07-23 23:30:00
18,2014.0,201407.0,哈吉貝,HAGIBIS,---,輕度,992,20,100,---,7,2014-06-14 23:30:00,2014-06-15 17:30:00
19,2016.0,201615.0,莫蘭蒂及馬勒卡,MERANTIANDMALAKAS,7,強烈,920.0,52.5,200.0,70.0,20.5,2016-09-12 23:30:00,2016-09-18 08:30:00
20,2017.0,201711.0,尼莎及海棠,NESATANDHAITANG,---,中度,972.5,30.0,140.0,60,16.5,2017-07-28 08:30:00,2017-07-31 08:30:00
